DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD013091.pub2,39,6,15,24,106,22
10.1002-14651858.CD006008.pub5,38,7,44,23,73,36
10.1002-14651858.CD013650.pub2,23,9,48,33,115,19
10.1002-14651858.CD007337.pub4,30,3,23,34,103,23
10.1002-14651858.CD012612.pub2,20,2,17,24,76,23
10.1002-14651858.CD000024.pub5,15,7,16,24,73,9
10.1002-14651858.CD015025,19,8,33,52,82,33
10.1002-14651858.CD001146.pub6,11,3,9,10,47,8
10.1002-14651858.CD013504.pub2,17,7,22,11,76,20
10.1002-14651858.CD005252.pub5,15,3,14,12,50,8
10.1002-14651858.CD011723.pub2,27,4,22,22,70,34
10.1002-14651858.CD012929.pub2,21,3,40,32,69,18
10.1002-14651858.CD013536.pub2,7,2,12,10,27,6
10.1002-14651858.CD012679.pub2,18,6,21,19,41,15
10.1002-14651858.CD015045,26,9,41,33,87,22
10.1002-14651858.CD008754.pub4,10,2,18,20,56,24
10.1002-14651858.CD012649.pub2,9,5,19,17,66,13
10.1002-14651858.CD001243.pub4,29,8,30,28,138,15
10.1002-14651858.CD005517.pub3,29,8,16,26,81,22
10.1002-14651858.CD000126.pub5,21,11,22,28,83,18
10.1002-14651858.CD013367.pub2,11,4,19,10,39,19
10.1002-14651858.CD013379.pub2,21,9,17,22,68,23
10.1002-14651858.CD013585.pub2,5,3,17,8,37,19
10.1002-14651858.CD012723.pub2,23,9,32,24,64,26
10.1002-14651858.CD011589.pub2,15,3,24,22,45,14
10.1002-14651858.CD006911.pub4,13,9,18,19,62,13
10.1002-14651858.CD010849.pub4,11,9,9,21,47,10
10.1002-14651858.CD012039.pub3,24,6,29,20,76,26
10.1002-14651858.CD011611.pub3,34,10,33,27,86,12
10.1002-14651858.CD006466.pub7,26,9,30,37,105,24
10.1002-14651858.CD003295.pub4,17,5,15,24,52,23
10.1002-14651858.CD012985.pub2,7,6,12,15,35,8
10.1002-14651858.CD004447.pub3,18,4,17,15,45,20
10.1002-14651858.CD013362.pub2,24,16,23,28,98,19
10.1002-14651858.CD006219.pub4,21,16,29,39,120,26
