DOI,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization
10.1002-14651858.CD012679.pub2,16,3,47,23,97,27
10.1002-14651858.CD015045,11,2,49,24,147,56
10.1002-14651858.CD008754.pub4,15,3,30,25,95,45
10.1002-14651858.CD012649.pub2,9,7,37,9,96,36
10.1002-14651858.CD001243.pub4,27,6,36,16,115,60
10.1002-14651858.CD005517.pub3,24,7,16,11,87,26
10.1002-14651858.CD000126.pub5,16,2,26,10,50,23
10.1002-14651858.CD013367.pub2,9,4,18,18,64,19
10.1002-14651858.CD013379.pub2,10,4,20,13,79,40
10.1002-14651858.CD013585.pub2,17,14,45,14,100,70
10.1002-14651858.CD012723.pub2,24,11,66,12,97,80
10.1002-14651858.CD011589.pub2,10,1,34,16,71,24
10.1002-14651858.CD006911.pub4,19,8,35,38,122,37
10.1002-14651858.CD010849.pub4,17,2,28,16,71,27
10.1002-14651858.CD012039.pub3,16,3,26,12,114,39
10.1002-14651858.CD011611.pub3,28,4,36,12,113,32
10.1002-14651858.CD006466.pub7,8,4,24,15,88,33
10.1002-14651858.CD003295.pub4,20,5,32,30,89,40
10.1002-14651858.CD012985.pub2,12,3,28,10,56,14
10.1002-14651858.CD004447.pub3,8,4,21,14,51,27
10.1002-14651858.CD013362.pub2,17,8,33,17,121,34
10.1002-14651858.CD006219.pub4,25,5,34,24,121,54
10.1002-14651858.CD010837.pub5,29,8,43,9,121,45
10.1002-14651858.CD010951.pub2,18,4,59,17,90,62
10.1002-14651858.CD001097.pub4,16,2,45,16,114,48
10.1002-14651858.CD009648.pub4,12,12,36,19,116,49
10.1002-14651858.CD008846.pub3,20,2,29,14,156,53
10.1002-14651858.CD014739,10,2,46,20,141,38
10.1002-14651858.CD009790.pub2,22,1,37,24,96,45
10.1002-14651858.CD007662.pub3,29,12,29,13,145,55
10.1002-14651858.CD011513.pub3,19,8,36,18,113,42
10.1002-14651858.CD013380.pub2,23,6,29,25,134,38
10.1002-14651858.CD013335.pub2,12,2,23,14,93,42
10.1002-14651858.CD013357.pub2,30,5,40,27,132,33
10.1002-14651858.CD013092.pub2,7,8,90,14,117,63
10.1002-14651858.CD005455.pub3,33,13,43,16,113,33
10.1002-14651858.CD011482.pub2,31,6,45,20,113,44
10.1002-14651858.CD010062.pub3,16,1,20,15,87,22
10.1002-14651858.CD013169.pub2,17,5,37,21,104,49
10.1002-14651858.CD007651.pub3,21,7,40,21,106,22
10.1002-14651858.CD010288.pub5,15,3,24,8,60,14
10.1002-14651858.CD012820.pub2,20,4,41,16,88,22
10.1002-14651858.CD009806.pub3,27,3,31,14,79,34
10.1002-14651858.CD013225.pub3,22,4,46,25,134,44
10.1002-14651858.CD015085.pub2,27,28,63,25,137,44
10.1002-14651858.CD013575.pub2,22,2,16,17,107,46
10.1002-14651858.CD013373.pub2,21,4,56,28,123,30
